City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
62,Mongagua,BR,79.93,overcast clouds,-24.0931,-46.6208,Hostel Aloha Brasil
94,Faanui,PF,79.59,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
170,Port Elizabeth,ZA,79.11,clear sky,-33.918,25.5701,39 On Nile Guest House
181,Chuy,UY,79.03,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
306,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
319,Namatanai,PG,79.63,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
368,Humaita,BR,79.25,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
410,Miracema Do Tocantins,BR,79.23,overcast clouds,-9.5618,-48.3967,Miami Apart Hotel
447,Fare,PF,79.23,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
504,Buala,SB,79.11,light rain,-8.145,159.5921,Maringe Lagoon Lodge
508,Magaria,NE,79.21,clear sky,12.9983,8.9099,Chez Honorable Chapiou
520,Hobyo,SO,79.63,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
597,Mataram,ID,79.61,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
624,Marti,CU,79.45,light rain,22.9475,-80.9203,Hotel Bibanasí
628,Kattivakkam,IN,79.07,clear sky,13.2167,80.3167,Euronova Freezer
634,Biu,NG,79.79,scattered clouds,10.6129,12.1946,Emir's Palace
644,Wewak,PG,79.63,moderate rain,-3.5534,143.6268,In Wewak Boutique Hotel
665,Manokwari,ID,79.43,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
