City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Krasnoselkup,RU,2021-12-19 15:22:47,65.7,82.4667,-41.21,98,27,4.25,scattered clouds
1,Ipixuna,BR,2021-12-19 15:22:47,-1.7625,-48.8043,87.75,86,100,3.94,light rain
2,Cape Town,ZA,2021-12-19 15:22:48,-33.9258,18.4232,82.11,60,0,5.01,clear sky
3,Norman Wells,CA,2021-12-19 15:22:48,65.282,-126.8329,-0.36,85,90,2.3,light snow
4,Verkh-Chebula,RU,2021-12-19 15:22:49,56.0308,87.6218,-11.09,100,96,3.51,overcast clouds
5,Paidha,UG,2021-12-19 15:22:49,2.4167,30.9855,73.47,55,92,3.56,overcast clouds
6,Chokurdakh,RU,2021-12-19 15:22:50,70.6333,147.9167,-23.01,99,100,5.91,light snow
7,Vaini,TO,2021-12-19 15:22:50,-21.2,-175.2,78.96,94,20,6.91,few clouds
8,Barrow,US,2021-12-19 15:22:51,71.2906,-156.7887,-9.38,70,1,16.11,clear sky
9,Progress,US,2021-12-19 15:22:51,40.2851,-76.8314,39.24,65,90,8.01,overcast clouds
10,Muisne,EC,2021-12-19 15:22:52,0.6,-80.0333,77.11,90,100,9.51,overcast clouds
11,Tres Palos,MX,2021-12-19 15:21:18,18.1833,-101.6167,70.41,56,96,1.61,overcast clouds
12,Port Augusta,AU,2021-12-19 15:22:52,-32.5,137.7667,62.74,56,71,14.38,broken clouds
13,Butaritari,KI,2021-12-19 15:22:53,3.0707,172.7902,80.92,81,96,15.37,light rain
14,Punta Arenas,CL,2021-12-19 15:21:08,-53.15,-70.9167,51.91,32,40,36.82,scattered clouds
15,Yellowknife,CA,2021-12-19 15:21:46,62.456,-114.3525,-17.59,82,75,5.75,broken clouds
16,Comodoro Rivadavia,AR,2021-12-19 15:19:49,-45.8667,-67.5,75.06,35,20,16.11,few clouds
17,Sorong,ID,2021-12-19 15:22:54,-0.8833,131.25,82.54,79,100,9.6,overcast clouds
18,Puerto Ayora,EC,2021-12-19 15:22:55,-0.7393,-90.3518,75.16,85,96,5.41,overcast clouds
19,Rikitea,PF,2021-12-19 15:22:55,-23.1203,-134.9692,76.64,74,100,9.19,light rain
20,Iqaluit,CA,2021-12-19 15:22:56,63.7506,-68.5145,10.13,72,75,3.44,light snow
21,Busselton,AU,2021-12-19 15:22:56,-33.65,115.3333,59.09,86,0,8.05,clear sky
22,Katsuura,JP,2021-12-19 15:22:57,35.1333,140.3,42.91,62,0,9.84,clear sky
23,Mataura,NZ,2021-12-19 15:22:58,-46.1927,168.8643,68.49,58,37,7.0,scattered clouds
24,Lebu,CL,2021-12-19 15:22:59,-37.6167,-73.65,62.56,75,54,16.89,broken clouds
25,Fallon,US,2021-12-19 15:23:00,39.4735,-118.7774,24.67,86,90,4.61,mist
26,Clyde River,CA,2021-12-19 15:23:01,70.4692,-68.5914,10.63,92,100,0.0,snow
27,Aksarayskiy,RU,2021-12-19 15:23:01,46.7924,48.0119,35.55,61,98,8.88,overcast clouds
28,Hasaki,JP,2021-12-19 15:23:02,35.7333,140.8333,28.8,42,4,9.57,clear sky
29,Half Moon Bay,US,2021-12-19 15:23:04,37.4636,-122.4286,46.09,93,90,0.0,fog
30,Jiuquan,CN,2021-12-19 15:23:04,39.7432,98.5174,26.24,21,1,2.62,clear sky
31,Avarua,CK,2021-12-19 15:23:05,-21.2078,-159.775,77.05,78,75,4.61,broken clouds
32,Vostok,RU,2021-12-19 15:23:06,46.4856,135.8833,-10.05,98,88,4.94,overcast clouds
33,Pinczow,PL,2021-12-19 15:23:07,50.5205,20.5265,41.61,94,100,17.54,light rain
34,Havoysund,NO,2021-12-19 15:23:08,70.9963,24.6622,23.88,81,99,8.55,light snow
35,Necochea,AR,2021-12-19 15:23:09,-38.5473,-58.7368,81.03,32,9,8.23,clear sky
